id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,local_code,home_link,wikipedia_link
4242,LFTW,medium_airport,Nîmes-Arles-Camargue Airport,43.757401,4.41635,309.0,EU,FR,FR-OCC,Nîmes/Garons,yes,LFTW,FNI,,https://www.nimes.aeroport.fr/en,https://en.wikipedia.org/wiki/N%C3%AEmes-Arles-Camargue_Airport
4245,LFVP,medium_airport,St Pierre Airport,46.76290130615234,-56.173099517822266,27.0,NA,PM,PM-SP,Saint-Pierre,yes,LFVP,FSP,,,https://en.wikipedia.org/wiki/Saint-Pierre_Airport
4248,LGAD,medium_airport,Andravida Air Base,37.9207,21.292601,55.0,EU,GR,GR-G,Andravida,no,LGAD,PYR,,https://www.haf.gr/en/structure/htaf/117-combat-wing/,https://en.wikipedia.org/wiki/Andravida_Air_Base
4251,LGAV,large_airport,Athens Eleftherios Venizelos International Airport,37.936401,23.9445,308.0,EU,GR,GR-I,Spata-Artemida,yes,LGAV,ATH,,http://www.aia.gr,https://en.wikipedia.org/wiki/Athens_International_Airport
4253,LGBL,medium_airport,Nea Anchialos National Airport,39.219601,22.7943,83.0,EU,GR,GR-E,Nea Anchialos,yes,LGBL,VOL,,,https://en.wikipedia.org/wiki/Nea_Anchialos_National_Airport
4255,LGHI,medium_airport,Chios Island National Airport,38.34320068359375,26.140600204467773,15.0,EU,GR,GR-K,Chios Island,yes,LGHI,JKH,,http://www.hcaa-eleng.gr/chios.htm,https://en.wikipedia.org/wiki/Chios_Island_National_Airport
4257,LGIO,medium_airport,Ioannina King Pyrrhus National Airport,39.6964,20.8225,1558.0,EU,GR,GR-D,Ioannina,yes,LGIO,IOA,,,https://en.wikipedia.org/wiki/Ioannina_National_Airport
4258,LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,35.339699,25.1803,115.0,EU,GR,GR-M,Heraklion,yes,LGIR,HER,,https://www.heraklion-airport.gr/en/,https://en.wikipedia.org/wiki/Heraklion_International_Airport%2C_%22Nikos_Kazantzakis%22
4261,LGKF,medium_airport,Kefallinia Airport,38.12009811401367,20.5004997253418,59.0,EU,GR,GR-F,Kefallinia Island,yes,LGKF,EFL,,,https://en.wikipedia.org/wiki/Kefalonia_Island_International_Airport
4262,LGKL,medium_airport,Kalamata Airport,37.06829833984375,22.02549934387207,26.0,EU,GR,GR-J,Kalamata,yes,LGKL,KLX,,,https://en.wikipedia.org/wiki/Kalamata_International_Airport
4264,LGKO,medium_airport,Kos Airport,36.794523,27.09115,412.0,AS,GR,GR-L,Kos Island,yes,LGKO,KGS,,https://www.kgs-airport.gr/el/,https://en.wikipedia.org/wiki/Kos_Island_International_Airport
4265,LGKP,medium_airport,Karpathos Airport,35.421398,27.146,66.0,EU,GR,GR-L,Karpathos Island,yes,LGKP,AOK,,,https://en.wikipedia.org/wiki/Karpathos_Island_National_Airport
4266,LGKR,medium_airport,Corfu Ioannis Kapodistrias International Airport,39.601898,19.911699,6.0,EU,GR,GR-F,Kerkyra (Corfu),yes,LGKR,CFU,,,https://en.wikipedia.org/wiki/Corfu_International_Airport%2C_%26quot%3BIoannis_Kapodistrias%26quot%3B
4268,LGKV,medium_airport,Kavala Alexander the Great International Airport,40.9133,24.6192,18.0,EU,GR,GR-A,Kavala,yes,LGKV,KVA,,,https://en.wikipedia.org/wiki/Kavala_International_Airport
4275,LGMT,medium_airport,Mytilene International Airport,39.057272,26.598887,60.0,EU,GR,GR-K,Mytilene,yes,LGMT,MJT,,,https://en.wikipedia.org/wiki/Mytilene_International_Airport
4277,LGPZ,medium_airport,Aktion National Airport,38.925499,20.765301,11.0,EU,GR,GR-D,Preveza,yes,LGPZ,PVK,,https://www.pvk-airport.gr/en,https://en.wikipedia.org/wiki/Aktion_National_Airport
4279,LGRP,medium_airport,Diagoras Airport,36.405399,28.086201,17.0,AS,GR,GR-L,Rhodes,yes,LGRP,RHO,,https://www.rho-airport.gr/el/,https://en.wikipedia.org/wiki/Rhodes_International_Airport
4280,LGRX,medium_airport,Patras Araxos Agamemnon Airport,38.1511,21.4256,46.0,EU,GR,GR-G,Patras,yes,LGRX,GPA,,http://www.araxos-airport.gr/,https://en.wikipedia.org/wiki/Araxos_Airport
4281,LGSA,medium_airport,Chania International Airport,35.5317,24.1497,490.0,EU,GR,GR-M,Souda,yes,LGSA,CHQ,,,https://en.wikipedia.org/wiki/Chania_International_Airport
4282,LGSK,medium_airport,Skiathos Island National Airport,39.177101,23.5037,54.0,EU,GR,GR-E,Skiathos,yes,LGSK,JSI,,,https://en.wikipedia.org/wiki/Skiathos_Island_National_Airport
4283,LGSM,medium_airport,Samos Airport,37.689999,26.911699,19.0,EU,GR,GR-K,Samos Island,yes,LGSM,SMI,,,https://en.wikipedia.org/wiki/Samos_International_Airport
4286,LGSR,medium_airport,Santorini Airport,36.399200439453125,25.47929954528809,127.0,EU,GR,GR-L,Santorini Island,yes,LGSR,JTR,,,https://en.wikipedia.org/wiki/Santorini_(Thira)_National_Airport
4287,LGST,medium_airport,Sitia Airport,35.21609878540039,26.101299285888672,376.0,EU,GR,GR-M,Crete Island,yes,LGST,JSH,,,https://en.wikipedia.org/wiki/Sitia_Public_Airport
4290,LGTG,medium_airport,Tanagra Air Base,38.339802,23.565001,495.0,EU,GR,GR-H,Tanagra,no,LGTG,,,,https://en.wikipedia.org/wiki/Tanagra_Air_Base
4295,LGZA,medium_airport,Zakynthos International Airport Dionysios Solomos,37.7509,20.8843,12.0,EU,GR,GR-F,Zakynthos,yes,LGZA,ZTH,,https://www.zth-airport.gr,https://en.wikipedia.org/wiki/Zakynthos_International_Airport
4296,LHBP,large_airport,Budapest Liszt Ferenc International Airport,47.43018,19.262393,495.0,EU,HU,HU-BU,Budapest,yes,LHBP,BUD,,http://www.bud.hu/english,https://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport
4297,LHDC,medium_airport,Debrecen International Airport,47.488899,21.615299,359.0,EU,HU,HU-HB,Debrecen,yes,LHDC,DEB,,http://www.airportdebrecen.hu/,https://en.wikipedia.org/wiki/Debrecen_International_Airport
4299,LHKE,medium_airport,Kecskemét Air Base,46.9175,19.749201,376.0,EU,HU,HU-BK,Kecskemét,no,LHKE,,,,https://en.wikipedia.org/wiki/Kecskem%C3%A9t_Air_Base
4302,LHPP,medium_airport,Pécs-Pogány Airport,45.988891,18.242044,651.0,EU,HU,HU-BA,Pogány,yes,LHPP,PEV,,http://www.airport-pecs.hu/,https://en.wikipedia.org/wiki/P%C3%A9cs-Pog%C3%A1ny_International_Airport
4303,LHPR,medium_airport,Győr-Pér International Airport,47.628436,17.804718,424.0,EU,HU,HU-GS,Pér,yes,LHPR,,,http://www.gyor-perairport.hu/index.php?displang=eng,https://en.wikipedia.org/wiki/Gy%C5%91r-P%C3%A9r_International_Airport
4305,LHSM,medium_airport,Hévíz–Balaton Airport,46.686391,17.159084,408.0,EU,HU,HU-ZA,Sármellék,yes,LHSM,SOB,,http://www.flybalaton.com/?null&lang=en,https://en.wikipedia.org/wiki/S%C3%A1rmell%C3%A9k_International_Airport
4306,LHSN,medium_airport,Szolnok Air Base,47.122897,20.2355,322.0,EU,HU,HU-JN,Szolnok,no,LHSN,,,,https://en.wikipedia.org/wiki/Szolnok_Air_Base
30003,LHTA,medium_airport,Taszár Air Base,46.393101,17.9175,531.0,EU,HU,HU-SO,Taszár,no,LHTA,,,,https://en.wikipedia.org/wiki/Tasz%C3%A1r_Air_Base
4308,LIBA,medium_airport,Amendola Air Base,41.541401,15.7181,183.0,EU,IT,IT-75,San Giovanni Rotondo (FG),no,LIBA,,FG06,,https://en.wikipedia.org/wiki/Amendola_Air_Base
4309,LIBC,medium_airport,Crotone Sant'Anna Pythagoras Airport,38.9972,17.0802,522.0,EU,IT,IT-78,Isola di Capo Rizzuto (KR),yes,LIBC,CRV,KR01,http://www.aeroporto.kr.it/cartaservizi_eng.asp,https://en.wikipedia.org/wiki/Crotone_Airport
4312,LIBG,medium_airport,Taranto-Grottaglie Marcello Arlotta Airport,40.517502,17.4032,215.0,EU,IT,IT-75,Grottaglie,no,LIBG,TAR,TA02,,https://en.wikipedia.org/wiki/Taranto-Grottaglie_Airport
4314,LIBP,medium_airport,Abruzzo Airport,42.431702,14.1811,48.0,EU,IT,IT-65,Pescara,yes,LIBP,PSR,PE01,http://www.abruzzo-airport.it/eng/index.php,https://en.wikipedia.org/wiki/Abruzzo_Airport
4316,LIBV,medium_airport,Gioia del Colle Antonio Ramirez Air Base,40.767799,16.9333,1187.0,EU,IT,IT-75,Gioia del Colle (BA),no,LIBV,,BA07,,https://en.wikipedia.org/wiki/Gioia_del_Colle_Air_Base
298716,LICB,medium_airport,Comiso Airport,36.99583,14.60889,756.0,EU,IT,IT-82,Comiso,yes,LICB,CIY,RG06,http://www.aeroportodicomiso.it/,https://en.wikipedia.org/wiki/Comiso_Airport
4318,LICC,large_airport,Catania-Fontanarossa Airport,37.466801,15.0664,39.0,EU,IT,IT-82,Catania,yes,LICC,CTA,CT03,http://www.aeroporto.catania.it/,https://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport
